joinkey pap_identifier
00053650 pmid29389568
00061709 pmid18797952
00053734 pmid21129383
00050784 pmid28194166
00053803 pmid24284780
00050866 pmid26152888
00050867 pmid26122521
00050870 pmid26067629
00050897 pmid25652028
00053787 pmid26063651
00050729 pmid28163903
00050852 pmid28239622
00050886 pmid28268484
00056694 pmid28002465
00050721 pmid28160702
00050723 pmid28158808
00050741 pmid28173048
00050749 pmid28152023
00050754 pmid28183799
00050792 pmid28206703
00050803 pmid28212785
00050821 pmid28228092
00050832 pmid28093294
00050845 pmid28249208
00050846 pmid28248504
00050862 pmid28257456
00050877 pmid28263324
00050890 pmid28278196
00050904 pmid28279400
00056725 pmid31069282
00053631 pmid29358026
00053658 pmid29396393
00053663 pmid29407924
00053671 pmid29414378
00053672 pmid29414052
00053673 pmid29411206
00053689 pmid29434393
00053698 pmid29440319
00053728 pmid29402037
00053742 pmid29459678
00053779 pmid29480728
00053783 pmid29477784
00053792 pmid29513928
00053793 pmid29513384
00053801 pmid29496523
00053802 pmid29496175
00053812 pmid29518733
00053824 pmid29536063
00061714 pmid34286017
00056669 pmid29459278
00056726 pmid31069123
00056515 pmid30938438
00056546 pmid30969760
00056549 pmid30962907
00056585 pmid31000226
00056588 pmid30990857
00056611 pmid30990038
00056622 pmid31021320
00056627 pmid31028715
00056629 pmid31026552
00056637 pmid31031967
00056653 pmid30931077
00056657 pmid30858210
00056658 pmid30833966
00056675 pmid31048400
00056675 pmid31048400
00056721 pmid31042764
00056730 pmid30917520
00056734 pmid31082452
00056745 pmid31086063
00056751 pmid31095290
00061727 pmid30291426
00061721 pmid31353766
00059209 pmid31984168
00061280 pmid33230445
00059193 pmid31761648
00059184 pmid31770528
00059177 pmid31963416
00059143 pmid31851962
00059155 pmid31950452
00059098 pmid31913705
00059091 pmid31930435
00059092 pmid31927676
00059062 pmid31919495
00059068 pmid31917826
00059029 pmid31882465
00059022 pmid31874433
00059009 pmid31868356
00059263 pmid32027645
00059273 pmid32031946
00059274 pmid32031809
00059287 pmid32059482
00059291 pmid32053680
00059296 pmid32042036
00059301 pmid32038555
00059302 pmid32003074
00059311 pmid32002683
00061688 pmid33052669
00061695 pmid32626745
00061702 pmid32611119
00061703 pmid32605985
00061704 pmid32605043
00061715 pmid32211035
00061684 pmid34268480
00061599 pmid34213689
00061600 pmid34213548
00061601 pmid34208275
00061605 pmid34201688
00061610 pmid34178723
00061623 pmid34016888
00061625 pmid33999124
00061630 pmid33975472
00061631 pmid33975210
00061635 pmid34227470
00061637 pmid34226569
00061656 pmid34244433
00061659 pmid34112780
00061662 pmid33543035
00061663 pmid33497383
00061676 pmid34268488
00061736 pmid34299431
00061741 pmid34312397
00061745 pmid34325308
00061769 pmid33848804
